"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","beef","chicken","intercept","depVarHat","solID"
"1213","2020-04-26",1688.79,2614490.88191444,-2406637.86795725,0,-1202610.14099893,0.132639352623797,2.70289654692725e-13,0,80047627.7211925,21740754.6414963,33471228.4979829,100793625.368286,"10_100_3"
"1214","2020-05-03",14732596.16,2625960.9686791,-2591984.2195889,0,-810718.446766047,242.85420453146,1.25685916850065e-17,0,82007415.3349584,22964954.5781771,33471228.4979829,104195871.069664,"10_100_3"
"1215","2020-05-10",15541169.5,2637431.05544376,-2645470.93156031,0,-839149.113332357,304.455336225025,5.84445220902001e-22,0,82071517.5287305,23030371.2912121,33471228.4979829,104255004.28583,"10_100_3"
"1216","2020-05-17",16024383.67,2648901.14220842,-2002338.00376101,0,-1317962.45589365,310.164041881118,2.71769681755726e-26,0,82073713.008682,23033972.331601,33471228.4979829,104436596.186879,"10_100_3"
"1217","2020-05-24",298070926.3,2660341.79442441,-524584.027431176,2673524.4690853,-1071864.34857376,310.655951653751,1.26374136155343e-30,3468910.88281641,82073788.3178381,23034170.88776,33471228.4979829,112314598.631871,"10_100_3"
"1218","2020-05-31",308051668.1,2671782.4466404,1172163.2797241,0,-1204521.97986728,60883.489900779,5.87645471924411e-35,3616029.51972025,82073790.9012208,23034181.8368552,33471228.4979829,111424309.494194,"10_100_3"
"1219","2020-06-07",314923043.7,2683223.09885639,2199820.27742677,0,-1139801.64858209,74585.9674299271,0.142164952034772,3624314.22783634,83296353.5096875,24116862.435402,33471228.4979829,114855358.010222,"10_100_3"
"1220","2020-06-14",327659351.5,2694635.57272591,2249125.51061227,0,-1466429.79531995,75844.0879566071,9.31320664709703,3624801.12215854,83337048.5875959,24174779.6237384,33471228.4979829,114689814.022674,"10_100_3"
"1221","2020-06-21",323526762.1,2706048.04659543,1892120.896138,0,-1519354.57462031,79629.556258319,9.73047347577478,3632149.59922688,83338443.1724206,24177968.0424697,33471228.4979829,114307014.468962,"10_100_3"
"1222","2020-06-28",276481175.9,2717460.52046494,1984738.21607452,-797047.247219017,-1562402.69556016,52706.0086918156,9.73948231015535,3632581.59558213,83338491.0102735,24178143.8479088,33471228.4979829,113544680.995699,"10_100_3"
"1223","2020-07-05",430608370.9,2728845.21155412,2809757.86556725,0,-989535.346382982,1910247.34851292,317.659776265635,3632607.0483032,81202106.9886816,24183670.7412387,33471228.4979829,115478017.517251,"10_100_3"
"1224","2020-07-12",434401710.2,2740229.9026433,3868131.47834819,0,-993584.776310789,3549414.68477379,375.488079746576,3632608.54814545,81124826.4992454,24183975.4665401,33471228.4979829,118105977.291465,"10_100_3"
"1225","2020-07-19",432281508.5,2751592.24910846,4472146.13047892,0,-880581.695154673,3682108.28355274,532.732473857691,3642099.04539332,81122170.4658051,24183992.2701212,33471228.4979829,118974059.481779,"10_100_3"
"1226","2020-07-26",658511352.4,2762954.59557361,4419289.9307463,0,-813236.994647976,5124525.11318348,14326.9652264911,3642656.56847976,81122079.347936,24183993.1967351,33471228.4979829,120456588.723233,"10_100_3"
"1227","2020-08-02",409350240.6,2774316.94203876,4036277.22597707,0,-760679.062658148,5382668.62670331,58403.7200672955,47570.6690602559,80702765.3808134,23464059.8557392,33471228.4979829,115705383.357741,"10_100_3"
"1228","2020-08-09",446638042.6,2785658.92430405,3689766.71021045,0,-544874.077481122,5400716.12505323,61058.3331513514,200.301774158404,80688232.924589,23423546.8158897,33471228.4979829,115504306.057491,"10_100_3"
"1229","2020-08-16",439431871.1,2797000.90656935,3442412.4515146,0,-1046636.54121864,5403383.41418066,62988.1194918785,0.836373962144588,80687734.2297404,23421310.276639,33471228.4979829,114768193.693291,"10_100_3"
"1230","2020-08-23",438484282.8,2808342.88883464,3220558.94099701,0,-875262.409151944,5402933.82150297,60782.9030995903,0.00349221514552904,80687717.1224214,23421186.9376413,33471228.4979829,114726260.208837,"10_100_3"
"1231","2020-08-30",426700660.6,2819663.41516446,3131316.90282836,0,-948363.790531622,5402895.33460231,15141.1210029427,1.45814735871832e-05,80687716.5355758,23421180.1362296,33471228.4979829,114529549.654886,"10_100_3"
"1232","2020-09-06",467858576.1,2830983.94149427,3389117.75879769,493881.257430871,-994932.234701401,5719154.7969158,14483.2102300956,6.08838124180341e-08,80189930.6001602,23734640.345018,33471228.4979829,115377259.675346,"10_100_3"
"1233","2020-09-13",454795389.4,2842286.40548988,3896874.04723359,0,-1087243.71659226,5735794.31354821,446.274198924678,2.54215638246819e-10,80172645.8627473,23751775.3205166,33471228.4979829,115312578.507142,"10_100_3"
"1234","2020-09-20",476726733.8,2853588.86948549,4080153.56774469,0,-1140464.79564344,5738153.85127197,1115.78660661168,1.06145768739828e-12,80172052.6817116,23752719.7534902,33471228.4979829,115457319.714667,"10_100_3"
"1235","2020-09-27",463851577.8,2864891.3334811,3333033.97815512,0,-1419452.1753038,5738355.65774219,1134.18624385454,4.43203427573163e-15,80172032.3330753,23752771.8317859,33471228.4979829,114442767.14518,"10_100_3"
"1236","2020-10-04",521614117.1,2876175.25413173,1664758.99280596,0,-803988.20956896,5865276.567834,2199.62701744166,1.85056154893998e-17,79829905.4085875,23752774.70358,33471228.4979829,113187102.344388,"10_100_3"
"1237","2020-10-11",229153894.2,2887459.17478237,-193916.064055636,-349512.15916969,-711020.635372725,3755072.06342704,517.784324041415,7.72687626800859e-20,79818071.0323893,23899017.1310621,33471228.4979829,109105688.327387,"10_100_3"
"1238","2020-10-18",107775008.9,2898743.095433,-1404460.99541674,0,-915284.039779903,161798.410298486,347.6561356292,3.2262972769165e-22,79817664.9520451,23907048.1349243,33471228.4979829,104465857.21364,"10_100_3"
"1239","2020-10-25",79028066.41,2910026.48947077,-1727597.03718507,0,-953605.474218661,3257.56301044548,344.4756909639,1.34711541352551e-24,79817651.0218232,23907490.8942073,33471228.4979829,103957567.932799,"10_100_3"
"1240","2020-11-01",80045288.67,2921309.88350853,-1601548.28556849,0,-708565.580294542,1473.93386313345,344.408151974648,5.62477596327514e-27,79817650.543964,23840192.3999463,33471228.4979829,104270857.303571,"10_100_3"
"1241","2020-11-08",3940610.98,2932592.28080076,-1584671.39070939,-540662.401384275,-1060047.63232101,6.93155861709147,25.7183917694117,2.34858159288953e-29,79913854.9773066,23836474.2002944,33471228.4979829,103497572.683937,"10_100_3"
"1242","2020-11-15",4121432.76,2943874.67809299,-1823593.43442404,0,-965076.50742879,11.7292764324417,23.3442308412914,9.80632034853141e-32,79917147.4513558,23836269.1427966,33471228.4979829,103908656.4039,"10_100_3"
"1243","2020-11-22",101570.51,2955157.07538521,-2076021.16394364,40957.5379404583,-669552.779770549,12.2201177327866,0.00108561037110551,4.09455303018482e-34,79917260.3865757,23836257.8350686,33471228.4979829,104004071.112459,"10_100_3"
"1244","2020-11-29",8557029.85,2966439.46957272,-2122553.52950299,0,-1451981.65508972,12.2627539831532,96512.9575844199,1.70964887145528e-36,79917264.2606683,23836257.2115166,33471228.4979829,103241950.977503,"10_100_3"
"1245","2020-12-06",7991773.83,2977721.86376023,-2011726.69974715,0,-1007221.61960426,20.8395619314617,99940.3690068461,7.13850630855398e-39,79529874.8490051,24509563.1362441,33471228.4979829,104098172.738227,"10_100_3"
"1246","2020-12-13",9361922.85,2989004.25794773,-1903954.23149636,0,-1184458.25388351,12.6707518556562,100013.136599876,2.98062796215509e-41,79516460.2323057,24545969.3252067,33471228.4979829,104063047.137432,"10_100_3"
"1247","2020-12-20",9594209.12,3000286.64918231,-1818294.19618331,-225696.648894995,-590786.429345525,12.092548118801,100014.686214208,1.2445380958948e-43,79515999.9107797,24547974.726538,33471228.4979829,104529510.790839,"10_100_3"
"1248","2020-12-27",9373672.97,3011569.04041688,-1647152.40232934,-302722.732150566,-559724.338801738,12.043889234891,100014.719216127,5.19647232663539e-46,79515984.1198423,24548085.3054967,33471228.4979829,104666065.75558,"10_100_3"
"1249","2021-01-03",108552561.5,3022851.43260408,-1379086.60826673,0,-2035967.29967844,180928.421832807,150017.473132873,2.16974673017723e-48,79587922.6467382,23893061.6397987,33471228.4979829,103419727.706161,"10_100_3"
"1250","2021-01-10",126812036.4,3034133.82479127,-1176349.39928703,0,-1915916.51730651,222786.439973725,144393.64220327,9.05960924487978e-51,79590386.1096916,23856248.4629777,33471228.4979829,103755682.563044,"10_100_3"
"1251","2021-01-17",161617871.4,3045416.21697847,-1178934.18863586,59399.9920076465,-1172987.22067338,246010.05990842,160384.565420476,3.78276959833035e-53,79590470.6106966,23854216.3178232,33471228.4979829,104603976.353526,"10_100_3"
"1252","2021-01-24",138491001.1,3056698.60314546,-1311065.29046469,0,-1575468.10361992,243128.818296388,100251.884541866,1.57946611683496e-55,79590473.5093932,23854104.2510289,33471228.4979829,103958123.672321,"10_100_3"
"1253","2021-01-31",129906901.8,3067980.98931244,-1376572.77046434,0,-1287126.11754096,247961.960580286,98798.727405701,6.59493831009645e-58,79590473.6088295,23854098.0712134,33471228.4979829,104195614.469336,"10_100_3"
