"","ds","Influencer_S","Social_Media_S","Radio_S","beef","chicken","type","solID"
"243","2021-03-07",1110000.2,325000,0,3.987,3.239,"predictedExposure","1_91_16"
"244","2021-03-14",45000,325000,0,4.042,3.239,"predictedExposure","1_91_16"
"245","2021-03-21",20000,325000,0,4.042,3.239,"predictedExposure","1_91_16"
"246","2021-03-28",20000,305000,0,4.042,3.239,"predictedExposure","1_91_16"
"247","2021-04-04",0,160000,0,4.096,3.291,"predictedExposure","1_91_16"
"248","2021-04-11",0,135000,0,4.096,3.291,"predictedExposure","1_91_16"
"249","2021-04-18",47000,135000,0,4.096,3.291,"predictedExposure","1_91_16"
"250","2019-10-06",90003.23,30000,0,3.841,2.93,"adstockedMedia","1_91_16"
"251","2019-10-13",95280.0902132658,32358.2909958574,0,4.05190257072981,3.04338860168696,"adstockedMedia","1_91_16"
"252","2019-10-20",345101.820817832,32543.6755432289,0,4.06348286084708,3.04777664775949,"adstockedMedia","1_91_16"
"253","2019-10-27",390498.787939306,37558.2485668568,0,4.0641187142591,3.04794646155072,"adstockedMedia","1_91_16"
"254","2019-11-03",3895360.39741272,37952.4426471798,0,4.0351536278543,3.06595303320544,"adstockedMedia","1_91_16"
"255","2019-11-10",4745596.06797811,37983.4301255213,0,4.03356320578084,3.06664987278943,"adstockedMedia","1_91_16"
"256","2019-11-17",4850445.10986144,7985.86604189325,0,4.03347587849528,3.06667683991095,"adstockedMedia","1_91_16"
"257","2019-11-24",4906592.37521529,627.766532690687,0,4.03347108350725,3.06667788351648,"adstockedMedia","1_91_16"
"258","2019-12-01",4909884.27119091,49.3485387181699,0,4.03347082022287,3.05867792390316,"adstockedMedia","1_91_16"
"259","2019-12-08",4943277.27398536,3.87927381725942,0,4.08347080576639,3.05836833201438,"adstockedMedia","1_91_16"
"260","2019-12-15",4945235.09491965,15000.3049485505,0,4.08621621724454,3.0583563510617,"adstockedMedia","1_91_16"
"261","2019-12-22",4935349.88132668,16179.1694698427,0,4.08636696297181,3.05835588740864,"adstockedMedia","1_91_16"
"262","2019-12-29",4860370.3144566,1271.8396560394,0,4.0863752401552,3.05835586946564,"adstockedMedia","1_91_16"
"263","2020-01-05",5325521.85674487,99.978933633738,0,4.11037569464082,3.23135586877126,"adstockedMedia","1_91_16"
"264","2020-01-12",1344081.1909571,12507.8593139655,0,4.11169351748635,3.23805082713751,"adstockedMedia","1_91_16"
"265","2020-01-19",1295250.61473473,13483.2390665859,0,4.1117658768266,3.23830991654622,"adstockedMedia","1_91_16"
"266","2020-01-26",1314387.69387224,13559.9133761908,0,4.11176984995102,3.23831994309426,"adstockedMedia","1_91_16"
"267","2020-02-02",1315509.69462153,13565.9407206559,0,4.09077006810831,3.18432033111346,"adstockedMedia","1_91_16"
"268","2020-02-09",1313105.47716193,16066.4145283953,0,4.08961700693273,3.18223059033048,"adstockedMedia","1_91_16"
"269","2020-02-16",457986.948671256,16262.9760239343,0,4.0895536943667,3.18214971907271,"adstockedMedia","1_91_16"
"270","2020-02-23",367851.626409834,16278.427664103,0,4.08955021798478,3.18214658942123,"adstockedMedia","1_91_16"
"271","2020-03-01",297205.68167008,41279.642312899,0,4.08955002710275,3.13614646830628,"adstockedMedia","1_91_16"
"272","2020-03-08",393160.192819735,28244.9802926242,0,4.10555001662175,3.13436630127192,"adstockedMedia","1_91_16"
"273","2020-03-15",338785.974718552,27220.3294234089,0,4.10642854797327,3.13429741026482,"adstockedMedia","1_91_16"
"274","2020-03-22",266198.031928881,27139.7819261166,0,4.10647678658835,3.13429474423924,"adstockedMedia","1_91_16"
"275","2020-03-29",221607.10436209,27133.4501115299,0,4.10647943528607,3.13429464106623,"adstockedMedia","1_91_16"
"276","2020-04-05",218992.752726601,17132.9523694856,0,4.27747958072141,3.07729463707352,"adstockedMedia","1_91_16"
"277","2020-04-12",47839.4741372788,1346.81624351375,0,4.28686889867702,3.07508878357561,"adstockedMedia","1_91_16"
"278","2020-04-19",37804.8128683667,105.872820671767,0,4.28738444965183,3.07500341885081,"adstockedMedia","1_91_16"
"279","2020-04-26",37216.4839294661,8.32263065654198,0,4.28741275765129,3.07500011530584,"adstockedMedia","1_91_16"
"280","2020-05-03",474681.990394401,0.654239497972337,0,4.69641431199387,3.27699998746135,"adstockedMedia","1_91_16"
"281","2020-05-10",500330.45129676,0.0514295705734153,0,4.7188718697245,3.28481721716942,"adstockedMedia","1_91_16"
"282","2020-05-17",501834.212249196,0.00404286310680335,0,4.72010497481632,3.28511973756044,"adstockedMedia","1_91_16"
"283","2020-05-24",501922.377266609,0.00031780825540862,14593572,4.72017268245336,3.28513144485194,"adstockedMedia","1_91_16"
"284","2020-05-31",3021927.54635301,2.49828115713105e-05,15315119.0041952,4.72017640016091,3.28513189791454,"adstockedMedia","1_91_16"
"285","2020-06-07",3169674.63291842,5000.00000196389,15350794.3055719,4.99617660429371,3.47513191544769,"adstockedMedia","1_91_16"
"286","2020-06-14",3178336.99673273,25393.048499464,15352558.1922223,5.01133129124335,3.48248476060421,"adstockedMedia","1_91_16"
"287","2020-06-21",3231639.5183165,26996.1399211219,15397645.4037102,5.01216340851392,3.48276930969319,"adstockedMedia","1_91_16"
"288","2020-06-28",2797264.62788659,27122.1584566297,15399874.6415128,5.01220909861325,3.48278032151002,"adstockedMedia","1_91_16"
"289","2020-07-05",10503727.708801,99632.064735883,15399984.8612628,4.53921160737644,3.48378074765832,"adstockedMedia","1_91_16"
"290","2020-07-12",14310555.1422906,110332.046705511,15399990.3108354,4.51324014503574,3.48381946333137,"adstockedMedia","1_91_16"
"291","2020-07-19",14536748.2012792,126173.169076671,15458652.5802775,4.51181409760714,3.48382096159623,"adstockedMedia","1_91_16"
"292","2020-07-26",19047715.1770397,442418.434951744,15461553.006902,4.51173579584492,3.48382101957785,"adstockedMedia","1_91_16"
"293","2020-08-02",19992191.7092457,829778.380384935,823124.412104115,4.42473149643255,3.35582102182169,"adstockedMedia","1_91_16"
"294","2020-08-09",20035635.7223124,870228.629433966,40697.5724403621,4.41995424300619,3.35086752668125,"adstockedMedia","1_91_16"
"295","2020-08-16",20043182.8307224,885908.41137105,2012.20177434006,4.41969193240254,3.35067583047393,"adstockedMedia","1_91_16"
"296","2020-08-23",20040625.3152431,872140.994323024,99.4888819619546,4.41967752938753,3.35066841198762,"adstockedMedia","1_91_16"
"297","2020-08-30",20040475.3689393,496058.741801005,4.91900850116584,4.41967673854325,3.35066812489827,"adstockedMedia","1_91_16"
"298","2020-09-06",21561536.237636,466495.028806856,0.243209534144678,4.31867669511938,3.40566811378815,"adstockedMedia","1_91_16"
"299","2020-09-13",21608215.5435341,139171.034201582,0.0120249593967671,4.31313095994575,3.40779656833866,"adstockedMedia","1_91_16"
"300","2020-09-20",21615952.3361145,167940.193228059,0.000594547615094228,4.31282645335769,3.40787893778755,"adstockedMedia","1_91_16"
"301","2020-09-27",21616405.9417567,170201.72818441,2.93960964815623e-05,4.31280973343522,3.4078821254178,"adstockedMedia","1_91_16"
"302","2020-10-04",22316762.0765085,217379.506768556,1.45342520332264e-06,4.24480881537361,3.40788224877648,"adstockedMedia","1_91_16"
"303","2020-10-11",14484823.7297691,131088.137783207,7.18614059175655e-08,4.24107500427463,3.43388225355036,"adstockedMedia","1_91_16"
"304","2020-10-18",3785639.7220989,109304.799166595,3.55302883742739e-09,4.24086998725839,3.43488843245315,"adstockedMedia","1_91_16"
"305","2020-10-25",995350.030334671,107592.417455953,1.75671680207203e-10,4.24085873013374,3.43492737075309,"adstockedMedia","1_91_16"
