"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","chicken","intercept","depVarHat","solID"
"174","2019-12-01",58638124.42,1299283.8725975,-1986795.36511047,0,7177961.65754998,198007.307746642,3570.32736755635,5910.48237304626,41237438.2473116,79723507.3692281,47935376.5298359,"8_54_15"
"175","2019-12-08",34595451,1305576.20251624,-1873407.99625099,0,7144022.82087178,201045.913641323,6687.48011253394,5910.48237304626,41227853.4254495,79723507.3692281,48017688.3287135,"8_54_15"
"176","2019-12-15",38934322.21,1311868.53243499,-1779784.07176432,0,8525798.33212804,202171.104734581,3250.44469040383,5910.48237304626,41223467.4150681,79723507.3692281,49492682.2396648,"8_54_15"
"177","2019-12-22",45290872.74,1318160.86235373,-1692439.84117925,-222890.516427157,8627613.87249544,201249.550065681,831.829020967291,5910.48237304626,41221839.4252152,79723507.3692281,49460275.6639177,"8_54_15"
"178","2019-12-29",64776493.72,1324453.18818763,-1510289.13703882,-298958.918679701,8341562.04980523,194145.181583441,1508.48569396988,5910.48237304626,41221331.4546741,79723507.3692281,49279662.7865989,"8_54_15"
"179","2020-01-05",64894467.84,1330745.51402153,-1254742.60377627,0,8198536.13846012,236532.584449659,3714.16505144633,5910.48237304626,41589882.648114,79723507.3692281,50110578.9286935,"8_54_15"
"180","2020-01-12",24732351.93,1337037.84143109,-1093282.65791934,0,8089448.33654282,19540.2910416803,2384.11838287133,5910.48237304626,41797638.0837969,79723507.3692281,50158676.4956491,"8_54_15"
"181","2020-01-19",26557621.63,1343330.16884065,-1128959.79036382,58661.4597920465,8060358.56309282,3347.2052410172,740.869892149971,5910.48237304626,41889675.6601485,79723507.3692281,50233064.6190164,"8_54_15"
"182","2020-01-26",26292907.18,1349622.49625022,-1254911.55742788,0,8113690.50126542,3941.10367186216,96.0632817011645,5910.48237304626,41923368.2400394,79723507.3692281,50141717.3294537,"8_54_15"
"183","2020-02-02",28287255.18,1355914.82043619,-1293665.67114175,0,8065206.89907062,3997.75541372041,16.5349706027666,5910.48237304626,41822930.2611668,79723507.3692281,49960311.0822892,"8_54_15"
"184","2020-02-09",32890363.52,1362207.14462216,-1243074.70541034,0,8004602.69934812,3980.40899435217,13.7944818805272,5910.48237304626,41761394.718454,79723507.3692281,49895034.5428632,"8_54_15"
"185","2020-02-16",5841619.91,1368499.46880813,-1287261.49413105,-129922.015824725,7619159.989113,486.386192226506,15.7603638362943,5910.48237304626,41733105.3220367,79723507.3692281,49309993.8989311,"8_54_15"
"186","2020-02-23",5115095.26,1374791.78926029,-1540935.10851047,0,7114933.04742178,93.7835891911675,17.3264247977809,5910.48237304626,41722574.7659565,79723507.3692281,48677386.0865151,"8_54_15"
"187","2020-03-01",3178917.26,1381084.10971244,-1867119.36261533,0,7022814.42142678,54.501997749627,53.0518787031989,5910.48237304626,41623271.4610125,79723507.3692281,48166068.6657858,"8_54_15"
