"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"21","season",0.012613943474404,-52807523.4151352,-0.00480025411076863,-636235.221869099,-0.00480113967181751,-52807523.4151352,-0.00480025411076863,-636235.221869099,-0.00480113967181751,FALSE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","holiday",0.0161179450147622,-522649.721740575,-4.75093568686126e-05,-30744.1012788574,-0.000232000240242384,-522649.721740575,-4.75093568686126e-05,-30744.1012788574,-0.000232000240242384,FALSE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","cag_V",242416.79889001,701074228.544134,0.0637283142605848,8446677.45233897,0.0637400709950238,701074228.544134,0.0637283142605848,8446677.45233897,0.0637400709950238,TRUE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Influencer_S",8060918.5021616,71264259.3066757,0.00647798895999175,858605.533815369,0.0064791840331203,71264259.3066757,0.00647798895999175,858605.533815369,0.0064791840331203,TRUE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,380410712.15,4583261.59216867,0.630155088852325,0.632359513947172,0.0168083374956365,0.187335048752716,5.33802941125026,77037.0076719596,0.0496384948928608
"25","Social_Media_S",645300.305558448,4797828.3301511,0.000436127159070087,57805.1606042302,0.000436207616732436,4797828.3301511,0.000436127159070087,57805.1606042302,0.000436207616732436,TRUE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,26989500,325174.698795181,0.0447084433412947,0.042573267727377,0.00665704647121129,0.177766476968862,5.62535758738787,2164.70308114165,0.0157680500642527
"26","Radio_S",4567642.01726269,36633709.1921732,0.00333003901281292,441369.990267147,0.00333065334546552,36633709.1921732,0.00333003901281292,441369.990267147,0.00333065334546552,TRUE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,196277706,2364791.63855422,0.32513646780638,0.325067218325451,0.0272625080885798,0.186642232267445,5.3578441912711,64470.1511738901,0.0706346386214136
"27","chicken",85523394.7489103,3498012154.21709,0.317972632247825,42144724.7496034,0.318031292512726,3498012154.21709,0.317972632247825,42144724.7496034,0.318031292512726,TRUE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","(Intercept)",105006370.382586,8715528741.75466,0.79224985313625,105006370.382586,0.792424643677594,8715528741.75466,0.79224985313625,105006370.382586,0.792424643677594,TRUE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","trend",0.00970386715921295,144965575.197524,0.0131775086816969,1746573.1951509,0.013180415976494,144965575.197524,0.0131775086816969,1746573.1951509,0.013180415976494,TRUE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","season",0.0148984890424133,-62371637.4307399,-0.00566964117250136,-751465.511213734,-0.00567089204007279,-62371637.4307399,-0.00566964117250136,-751465.511213734,-0.00567089204007279,FALSE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","holiday",0.0192750475660118,-625023.738304459,-5.68152523559559e-05,-36766.1022532035,-0.000277453314225212,-625023.738304459,-5.68152523559559e-05,-36766.1022532035,-0.000277453314225212,FALSE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","cag_V",285233.120658288,824899887.039084,0.0749841844050017,9938552.85589258,0.0750007278302008,824899887.039084,0.0749841844050017,9938552.85589258,0.0750007278302008,TRUE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Influencer_S",13432849.3495097,79679396.5946392,0.0072429329442357,959992.730055894,0.00724453092013336,79679396.5946392,0.0072429329442357,959992.730055894,0.00724453092013336,TRUE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,380410712.15,4583261.59216867,0.630155088852325,0.612245433853709,0.0124239500201575,0.209456237823347,4.77426698002371,56942.2129504111,0.0369840293788002
