DATE,banner_I,blog_I,coupon_I,email_I,social_I,text_I,website_I,ecom_I,display_I,event_I,other_I,post_I,sweepstakes_I,mail_I,radio_I,circular_I,retailer_I,banner_S,blog_S,coupon_S,email_S,social_S,text_S,website_S,ecom_S,display_S,event_S,other_S,post_S,sweepstakes_S,mail_S,radio_S,circular_S,retailer_S,revenue
10/31/2020,489067662,137068383,3923158,0,56665386,0,130285504,83352,5600000,4000000,29734,1943367018,0,0,0,68300000,510245977,3551700,773399.2,143445.2752,0,277683.44,0,129600,10760.92,0,80000,25000,324298.71,0,0,0,140000,2385472.39,431264454.5
11/7/2020,61714984,5502800,3817682,0,45193836,0,0,83352,0,0,29734,54946218,0,0,0,6000000,431730702,411802.8,70000,107223.89,0,340197.26,0,0,10760.92,0,0,25000,216810.07,0,0,0,0,1658433.3,198203116.4
11/14/2020,193438602,25771171,3817682,914704,71430732,0,79068,83352,0,144000000,29734,54946218,0,0,0,6000000,436727998,1077053.24,160000,107223.89,12500,704245.94,0,45000,10760.92,0,120000,25000,216810.07,0,0,0,0,1693962.3,216334711.1
11/21/2020,324817656,25771171,16689922,15024112,94671275,0,79068,83352,64000000,144000000,356328,48946218,0,0,0,6000000,486111502,1401464.44,160000,144953.64,223529.39,1075156.3,0,45000,10760.92,0,120000,204751.8,201810.07,0,0,0,0,1940193.3,271878635.5
11/28/2020,463428867,25771171,21872630,15024112,222990539,0,79068,83352,64000000,144000000,356328,46456218,0,0,0,6000000,571640269,1876464.44,160000,179953.64,223529.39,2128156.3,0,45000,10760.92,0,120000,204751.8,169338.07,0,0,0,0,2680343.43,330764740.1
12/5/2020,490423170,29776293,22607030,15753014,227616070,0,79068,83352,64000000,144000000,356328,121846218,0,0,0,6000000,580957381,1982914.44,194000,194203.64,230029.39,2174406.3,0,45000,10760.92,0,120000,204751.8,174957.22,0,0,0,0,2852630.76,240155668
12/12/2020,484277984,28121996,22505727,15753014,227616070,0,79068,83352,64000000,144000000,356328,121846218,0,0,0,6000000,580957381,1962914.44,159000,180883.65,230029.39,2174406.3,0,45000,10760.92,0,120000,204751.8,174957.22,0,0,0,0,2852630.76,274287007.8
12/19/2020,484277984,28121996,22505727,15753014,227616070,0,79068,83352,64000000,144000000,356328,121846218,0,0,0,6000000,580957381,1962914.44,159000,180883.65,230029.39,2174406.3,0,45000,10760.92,0,120000,204751.8,174957.22,0,0,0,0,2852630.76,284714249.3
12/26/2020,476738732,28121996,19070928,15753014,227616070,0,79068,83352,64000000,144000000,356328,114476408,0,0,0,6000000,576851300,1922914.44,159000,125665.05,230029.39,2174406.3,0,45000,10760.92,0,120000,204751.8,158289.14,0,0,0,0,2807400.9,344994869.2
1/2/2021,1293527900,785164498,306565552,86869250,272676070,0,9079068,83352,80000000,144000000,356328,2407736555,0,0,0,15000000,4074663859,7795523.48,4382765.2,2448830.83,731029.59,2534406.3,0,45000,10760.92,0,120000,204751.8,1115874.78,0,0,0,0,12843228.3,1535435886
1/9/2021,1928972436,781315995,300744124,72759842,434089100,0,9000000,83352,16000000,0,855252,3885603215,0,0,0,15000000,3663080341,9329790.28,4347765.2,2443781.91,520000.2,2879545.15,0,0,10760.92,0,0,720000,2539305.99,0,0,0,0,15505855.68,1558946568
1/16/2021,2028919210,794761139,300744124,85855305,418293065,0,9000000,83352,16000000,0,1119591,4013603215,0,0,0,9000000,3711169031,9667107.48,4484565.2,2443781.91,704920.2,2709347.89,0,0,10760.92,0,0,945000,2659305.99,0,0,0,0,15810579.68,1685056299
1/23/2021,2022702902,790756017,300744124,85126403,357707801,0,9000000,83352,16000000,0,1119591,4013603215,0,0,0,9000000,3680940920,9647107.48,4450565.2,2443781.91,698420.2,2259347.89,0,0,10760.92,0,0,945000,2659305.99,0,0,0,0,15585579.68,1584208909
